1;Abacate;76;736;617;
2;Amora;869;308;148;
3;Ameixa;652;330;483;
4;Acerola;902;402;629;
5;Banana;655;1000;705;
6;Caqui;425;981;603;
7;Caju;44;734;491;
8;Cereja;939;677;105;
9;Carambola;424;715;842;
10;Damasco;794;873;14;
11;Figo;436;301;300;
12;Framboesa;398;73;711;
13;Graviola;675;901;317;
14;Goiaba;665;261;172;
15;Guaraná;966;974;881;
16;Imbu;731;439;946;
17;Jaca;604;136;102;
18;Jabuticaba;212;781;54;
19;Jambolão;731;105;872;
20;Kiwi;962;906;641;
21;Laranja;119;784;976;
22;Limão;977;653;577;
23;Melancia;441;444;437;
24;Melão;501;104;75;
25;Maçã;796;950;311;
26;Maracujá;687;851;964;
27;Mamão;390;789;155;
28;Manga;910;645;40;
29;Nectarina;215;391;35;
30;Oiti;215;540;505;
31;Olho de Boi;917;10;649;
32;Opuntia;183;712;971;
33;Pêra;386;523;918;
34;Pitanga;928;507;75;
35;Pêssego;335;254;682;
36;Romã;343;848;419;
37;Sapoti;506;56;853;
38;Tomate;979;973;627;
39;Tangerina;851;355;331;
40;Uva;338;687;497;
41;Notebook;1383;26;557;
42;Bola de Boliche;2674;782;871;
43;Celular;1682;95;994;
44;Trator;2303;467;759;
45;Casaco;2403;832;751;
46;Caneta;1276;24;496;
47;Pendrive;1179;309;971;
48;Capacete;2664;228;173;
49;Prancha;2405;507;645;
50;Bota;2137;777;429;
